"","GameSno","FieldAbbe","VisitingTeamName","HomeTeamName","VisitingScore","HomeScore","AudienceCnt","Year.x","Date","Weekdays","HeadUmpire","GameTime","Angels","Result","X","ErrorCnt","TotalHittingCnt","TotalHitCnt","TotalHomeRunCnt","Year.y","KindCode","Seq","VisitingHomeType","HitterAcnt","HitterName","HitterUniformNo","RoleType","IsContinuousRace","PlateAppearances","HitCnt","RunBattedINCnt","GameWinningRbiCnt","IsMvp","ScoreCnt","HittingCnt","OneBaseHitCnt","TwoBaseHitCnt","ThreeBaseHitCnt","HomeRunCnt","GrandSlamHomerunCnt","TotalBases","DoublePlayBatCnt","TripplePlayBatCnt","SacrificeHitCnt","SacrificeFlyCnt","BasesONBallsCnt","IntentionalBasesONBallsCnt","HitBYPitchCnt","StrikeOutCnt","StealBaseOKCnt","StealBaseFailCnt","Lobs","LeftBehindLobs","ObstructionCnt","Pkno","CreateTime","CreateUser","UpdateTime","UpdateUser","Rowstamp","Rboe","TeamName"
"124",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5669,0,0,0,0,2023,"A",1,2,361,"張冠廷",33,"非先發",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Z007JSB6","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"125",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5670,0,14,71,3,2023,"A",1,2,362,"申皓瑋",29,"先發",1,4,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,"Z007JSB7","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"126",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5671,0,27,78,0,2023,"A",1,2,2305,"王正棠",35,"先發",1,5,3,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,0,0,1,1,0,2,3,0,"Z007JSBA","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"127",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5672,0,16,54,1,2023,"A",1,2,5496,"辛元旭",67,"先發",1,4,4,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,"Z007JSBF","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"128",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5673,0,2,18,1,2023,"A",1,2,1118,"高國麟",98,"非先發",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Z007JSB9","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"129",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5677,0,10,56,3,2023,"A",1,2,3338,"高國輝",28,"先發",1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,"Z007JSBC","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"130",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5679,1,18,58,0,2023,"A",1,2,6743,"劉俊豪",85,"先發",1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,"Z007JSBI","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"131",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5685,0,6,18,0,2023,"A",1,2,5563,"姚冠瑋",10,"先發",1,4,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"Z007JSBG","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"132",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5687,1,16,54,0,2023,"A",1,2,6738,"孔念恩",82,"先發",1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,"Z007JSBH","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
"133",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁","L",5688,0,9,46,0,2023,"A",1,2,910,"張進德",69,"非先發",1,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Z007JSB8","2023-04-29T21:03:12","batch","2023-04-29T21:03:12","batch",NA,0,"富邦悍將"
